item_id	expected	draft	recheck	computed_verdict	final	final_correct	receipt_bytes	extract_ok
calc_easy_01	2	2	2	pass	2	true	727	true
calc_easy_02	21	21	21	pass	21	true	730	true
calc_easy_03	2	2	2	pass	2	true	727	true
calc_easy_04	37	37	37	pass	37	true	730	true
calc_easy_05	-5	-5	-5	pass	The	false	731	true
calc_easy_06	13	13	13	pass	13	true	730	true
calc_easy_07	4	4	4	pass	4	true	727	true
calc_easy_08	-6	-6	-6	pass	ANswer	false	734	true
calc_easy_09	3	3	3	pass	3	true	727	true
calc_easy_10	12	12	12	pass	12	true	730	true
calc_easy_11	28	28	28	pass	28	true	730	true
calc_easy_12	1	1	1	pass	1	true	727	true
calc_easy_13	16	16	16	pass	16	true	730	true
calc_easy_14	22	22	22	pass	22	true	730	true
calc_easy_15	1	1	1	pass	1	true	727	true
calc_hard_01	1685	1685	1625	contradict	ANswer	false	744	true
calc_hard_02	585	0	85	contradict	ANswer	false	739	true
calc_hard_03	1	1	1	pass	1	true	727	true
calc_hard_04	1040	1030	1120	contradict	ANswer	false	744	true
calc_hard_05	226008	227	116	contradict	ANswer	false	742	true
calc_hard_06	416	416	416	pass	416	true	733	true
calc_hard_07	0	0	0	pass	0	true	727	true
calc_hard_08	330	30	90	contradict	ANswer	false	740	true
calc_hard_09	0	0	0	pass	0	true	727	true
calc_hard_10	65	65	65	pass	65	true	730	true
calc_hard_11	1830	1830	1830	pass	1830	true	736	true
calc_hard_12	585	585	585	pass	585	true	733	true
calc_hard_13	486	3	9	contradict	ANswer	false	738	true
calc_hard_14	128	0	128	contradict	ANswer	false	740	true
calc_hard_15	826	826	826	pass	826	true	733	true
calc_overflow_01	1000014129	998906609	998906609	pass	998906609	false	751	true
calc_overflow_02	999961560	1000000000	1000000	contradict	ANswer	false	753	true
calc_overflow_03	1999999998	1999999998	1999999998	pass	19	false	746	true
calc_overflow_04	2	1	1	pass	1	false	727	true
calc_overflow_05	overflow	922337203685	92233372708	contradict	ANWER	false	758	true
calc_overflow_06	overflow	-9223372036	922337203685	contradict	ANswer	false	759	true
calc_overflow_07	overflow	9223372036	922337203685	contradict	ANWER	false	757	true
calc_overflow_08	overflow	9223372036	9223372036854775808	contradict	ANswer	false	765	true
