item_id	expected	draft	tool_in	tool_out	recheck	computed_verdict	final	final_correct	receipt_bytes	extract_ok
calc_easy_01	2	2	CALC(11-9)	2	2	pass	2	true	767	true
calc_easy_02	21	21	CALC(18+3)	21	21	pass	21	true	771	true
calc_easy_03	2	2	CALC(18-16)	2	2	pass	2	true	768	true
calc_easy_04	37	37	CALC(19+18)	37	37	pass	37	true	772	true
calc_easy_05	-5	-5	CALC(1-6)	-5	-5	pass	The	false	771	true
calc_easy_06	13	13	CALC(9+4)	13	13	pass	13	true	770	true
calc_easy_07	4	4	CALC(3+1)	4	4	pass	4	true	766	true
calc_easy_08	-6	-6	CALC(7-13)	-6	-6	pass	ANswer	false	775	true
calc_easy_09	3	3	CALC(5-2)	3	3	pass	3	true	766	true
calc_easy_10	12	12	CALC(14-2)	12	12	pass	12	true	771	true
calc_easy_11	28	28	CALC(8+20)	28	28	pass	28	true	771	true
calc_easy_12	1	1	CALC(16-15)	1	1	pass	1	true	768	true
calc_easy_13	16	16	CALC(5+11)	16	16	pass	16	true	771	true
calc_easy_14	22	22	CALC(5+17)	22	22	pass	22	true	771	true
calc_easy_15	1	1	CALC(1*1)	1	1	pass	1	true	766	true
calc_hard_01	1685	1685	CALC(758+927)	1685	1685	pass	1685	true	782	true
calc_hard_02	585	0	CALC(585%895)	585	585	contradict	ANswer	false	785	true
calc_hard_03	1	1	CALC(870/820)	1	1	pass	1	true	770	true
calc_hard_04	1040	1030	CALC(506+534)	1040	1040	contradict	ANswer	false	790	true
calc_hard_05	226008	227	CALC(516*438)	226008	226008	contradict	ANswer	false	793	true
calc_hard_06	416	416	CALC(199+217)	416	416	pass	416	true	778	true
calc_hard_07	0	0	CALC(244/844)	0	0	pass	0	true	770	true
calc_hard_08	330	30	CALC(890%560)	330	330	contradict	ANswer	false	786	true
calc_hard_09	0	0	CALC(321/776)	0	0	pass	0	true	770	true
calc_hard_10	65	65	CALC(683-618)	65	65	pass	65	true	774	true
calc_hard_11	1830	1830	CALC(938+892)	1830	1830	pass	1830	true	782	true
calc_hard_12	585	585	CALC(720-135)	585	585	pass	585	true	778	true
calc_hard_13	486	3	CALC(486%543)	486	486	contradict	ANswer	false	785	true
calc_hard_14	128	0	CALC(128%747)	128	128	contradict	ANswer	false	785	true
calc_hard_15	826	826	CALC(538+288)	826	826	pass	826	true	778	true
calc_overflow_01	1000014129	998906609	CALC(31623*31623)	1000014129	1000014129	contradict	ANWER	false	810	true
calc_overflow_02	999961560	1000000000	CALC(44721*22360)	999961560	999961560	contradict	ANWER	false	809	true
calc_overflow_03	1999999998	1999999998	CALC(999999999+999999999)	1999999998	1999999998	pass	19	false	810	true
calc_overflow_04	2	1	CALC(500000000%3)	2	2	contradict	ANswer	false	785	true
calc_overflow_05	overflow	922337203685	CALC(9223372036854775807+1)	overflow	overflow	contradict	922337203685	false	826	true
calc_overflow_06	overflow	-9223372036	CALC(-9223372036854775808-1)	overflow	overflow	contradict	0x0000000000000000	false	832	true
calc_overflow_07	overflow	9223372036	CALC(9223372036854775807--1)	overflow	overflow	contradict	9223372036	false	823	true
calc_overflow_08	overflow	9223372036	CALC(-9223372036854775808/-1)	overflow	overflow	contradict	9223372036	false	824	true
